project_name	ID_EIA	type	latitude	longitude	region	state	state_fips	state_name	year	capacity_DC_kW	capacity_AC_kW	inverter_loading_ratio	mount_type	tracking_type	tilt	azimuth	average_global_horizontal_irradiance	capacity_factor_average	tech_class_primary	tech_class_secondary	storage_flag	storage_year	storage_capacity	storage_energy	storage_tech	hybrid_flag	hybrid_tech	duplicate	sub_id	interconnect_x	point_of_interconnect	interconnect_y
Sullivan Solar	60410.0	UPV	39.134551	-87.414491	MISO	IN	18	Indiana	2016	7000.0	5200.0	1.346153846153846	Fixed Tilt	['Fixed']	20.0	180.0	4.1145121005	0.1886665494643963	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	22612	Eastern	distribution-primary	Eastern
Perry Solar Facility	60071.0	UPV	30.122551	-83.561061	Southeast (non-ISO)	FL	12	Florida	2016	6748.8	5100.0	1.323294117647059	Fixed Tilt	['Fixed']	20.0	180.0	4.783559589	0.1692720985142815	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	13334	Eastern	distribution-primary	Eastern
Olive Solar Power Project	59854.0	UPV	41.713291	-86.487091	PJM	IN	18	Indiana	2016	6468.75	5010.0	1.291167664670659	Fixed Tilt	['Fixed']	25.0	180.0	3.834480137		PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	22376	Eastern	distribution-primary	Eastern
Shoe Creek Solar	60380.0	UPV	34.84492	-79.38472	Southeast (non-ISO)	NC	37	North Carolina	2017	91587.22000000002	64480.00000000001	1.4203973325062036	Tracking	['Single']	-1.0	180.0	4.5005468037	0.2357570373525998	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11026	Eastern	distribution-primary	Eastern
Beacon Solar 1 (Hecate Energy Beacon 1 Photovoltaic Project)	59315.0	UPV	35.268851	-118.014021	West (non-ISO)	CA	6	California	2017	63900.0	56000.0	1.1410714285714283	Tracking	['Single']	-1.0	180.0	5.8451440639	0.2853895351151414	PV	['c-Si']	True	2018	36.0	18.0	Lithium Ion	False	[]	False	37200	Western	distribution-primary	Western
Beacon Solar 2	59309.0	UPV	35.269211	-117.998491	West (non-ISO)	CA	6	California	2017	59600.0	45000.0	1.3244444444444443	Tracking	['Single']	-1.0	180.0	5.8586210046	0.3172999499112356	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	37200	Western	distribution-primary	Western
Beacon Solar 5	59308.0	UPV	35.247161	-118.034621	West (non-ISO)	CA	6	California	2017	48200.0	36000.0	1.338888888888889	Tracking	['Single']	-1.0	180.0	5.8451440639	0.315259170656671	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	37200	Western	distribution-primary	Western
PSEG Cork Oak Solar	60637.0	UPV	36.372871	-77.571501	PJM	NC	37	North Carolina	2017	26200.0	20250.0	1.2938271604938272	Tracking	['Single']	-1.0	180.0	4.4100700913	0.2071214044651288	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10752	Eastern	distribution-primary	Eastern
Tallahassee Airport 1 (CoTAL, City of Tallahassee Solar Farm, Tallahassee Solar 1)	60582.0	UPV	30.379501	-84.356951	Southeast (non-ISO)	FL	12	Florida	2017	28000.0	20000.0	1.4	Fixed Tilt	['Fixed']	30.0	180.0	4.7657527397	0.2178603739884056	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	13282	Eastern	distribution-primary	Eastern
Remington Solar Facility	59685.0	UPV	38.548333	-77.77639	PJM	VA	51	Virginia	2017	27700.0	20000.0	1.385	Fixed Tilt	['Fixed']	20.0	180.0	4.17821621	0.1955572554083389	PV	['Thin-Film']	False	-1	-1.0	-1.0		True	['Fossil']	False	9917	Eastern	distribution-primary	Eastern
Amazon Solar Farm US East 4 (Sappony Solar)	60916.0	UPV	36.943321	-77.415481	PJM	VA	51	Virginia	2017	28290.0	20000.0	1.4145	Tracking	['Single']	-1.0	180.0	4.3510424658	0.2333437299864427	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	9835	Eastern	distribution-primary	Eastern
Amazon Solar Farm US East 3 (Correctional Solar)	60915.0	UPV	37.472821	-76.844311	PJM	VA	51	Virginia	2017	22960.0	20000.0	1.148	Tracking	['Single']	-1.0	180.0	4.2920853881	0.1797071002902744	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10011	Eastern	distribution-primary	Eastern
Amazon Solar Farm US East 5 (Scott 2)	60968.0	UPV	37.532651	-77.942911	PJM	VA	51	Virginia	2017	28300.0	20000.0	1.415	Tracking	['Single']	-1.0	159.0	4.3119285388	0.2246742884530611	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	9828	Eastern	distribution-primary	Eastern
Essex Solar Center	61406.0	UPV	37.832581	-76.795691	PJM	VA	51	Virginia	2017	26700.0	20000.0	1.335	Tracking	['Single']	-1.0	180.0	4.257497032	0.2279484128469363	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10170	Eastern	distribution-primary	Eastern
CED Oro Loma (SR Solis Oro Loma Solar)	59915.0	UPV	36.876961	-120.667501	CAISO	CA	6	California	2017	27682.0	20000.0	1.3841	Tracking	['Single']	-1.0	180.0	5.2543954338	0.2860505350117689	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	36543	Western	distribution-primary	Western
Simco Solar (Simcoe Solar)	60748.0	UPV	43.325321	-115.939241	West (non-ISO)	ID	16	Idaho	2017	26783.0	20000.0	1.33915	Tracking	['Single']	-1.0	180.0	4.6827493151	0.2727235800251184	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	39480	Western	distribution-primary	Western
Vaughn Creek PV1 (Fresh Air Energy XXV)	60001.0	UPV	36.452511	-77.120251	Southeast (non-ISO)	NC	37	North Carolina	2017	26000.0	19900.0	1.306532663316583	Tracking	['Single']	-1.0	180.0	4.4033440639	0.2304541249719081	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10928	Eastern	distribution-primary	Eastern
Amazon Solar Farm US East 2 (Buckingham Solar)	60917.0	UPV	37.50278	-78.37301	PJM	VA	51	Virginia	2017	22660.0	19800.0	1.1444444444444444	Tracking	['Single']	-1.0	180.0	4.3037219178	0.188281670788782	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	9274	Eastern	distribution-primary	Eastern
