name	eia_id	source	sector	chp	latitude	longitude	fips	state	state_abbr	zip	capacity	collocated_with_solar	solar_mw	period	sub_id	interconnect
Clinton Battery	60297	batteries	ipp	False	39.295883	-83.960782	39027	Ohio	OH	45107	10.0	False	0.0	202108	18890	Eastern
HMV Minster Energy Storage System	60299	batteries	ipp	False	40.398844	-84.387266	39011	Ohio	OH	45868	7.0	False	0.0	202108	18739	Eastern
Beech Ridge Energy Storage	60390	batteries	ipp	False	38.0878	-80.4925	54025	West Virginia	WV	25984	31.5	False	0.0	202108	18112	Eastern
Salem Smart Power Center	60441	batteries	utility	False	44.922	-123.0183	41047	Oregon	OR	97302	5.0	False	0.0	202108	35590	Western
Glacier Battery Storage	60444	batteries	utility	False	48.88804	-121.9462	53073	Washington	WA	98244	2.0	False	0.0	202108	35272	Western
ETT Presidio NaS Battery	60506	batteries	ipp	False	29.566263	-104.35535	48377	Texas	TX	79845	4.0	False	0.0	202108	39763	Texas
Cedartown Battery Energy Storage Project	60561	batteries	utility	False	34.041026	-85.223252	13233	Georgia	GA	30125	1.0	False	0.0	202108	12424	Eastern
Borrego Springs Energy Storage	60565	batteries	utility	False	33.27011	-116.3496	6073	California	CA	92004	1.5	False	0.0	202108	37674	Western
Pala Energy Storage Yard	60566	batteries	utility	False	33.35651	-117.113599	6073	California	CA	92059	1.5	False	0.0	202108	37732	Western
Ortega Highway Energy Storage	60567	batteries	utility	False	33.562061	-117.543777	6059	California	CA	92675	2.0	False	0.0	202108	37418	Western
Canyon Crest Academy	60568	batteries	utility	False	32.95907	-117.191622	6073	California	CA	92130	1.0	False	0.0	202108	37581	Western
El Cajon Energy Storage	60569	batteries	utility	False	32.8115	-117.050546	6073	California	CA	92020	7.5	False	0.0	202108	37583	Western
Escondido Energy Storage	60570	batteries	utility	False	33.124446	-117.114274	6073	California	CA	92029	30.0	False	0.0	202108	37540	Western
AEP Churubusco NaS	60617	batteries	utility	False	41.2326	-85.3149	18183	Indiana	IN	46723	2.0	False	0.0	202108	21805	Eastern
AEP Bluffton NaS	60618	batteries	utility	False	40.8928	-83.8863	39003	Ohio	OH	45817	2.0	False	0.0	202108	19600	Eastern
Rabbit Hill Energy Storage Project	60649	batteries	ipp	False	30.587828	-97.687023	48491	Texas	TX	78626	9.9	False	0.0	202108	40677	Texas
McHenry Battery Storage	60656	batteries	ipp	False	42.331411	-88.274352	17111	Illinois	IL	60050	19.8	False	0.0	202108	23299	Eastern
Willey Battery Utility	60660	batteries	ipp	False	39.287747	-84.680313	39061	Ohio	OH	45013	6.0	False	0.0	202108	19217	Eastern
Mira Loma Energy Storage Facility	60661	batteries	utility	False	34.006125	-117.560934	6071	California	CA	91761	20.0	False	0.0	202108	37423	Western
Blue Summit Storage, LLC	60690	batteries	ipp	False	34.299	-99.399	48487	Texas	TX	76384	30.0	False	0.0	202108	39854	Texas
Millikan BESS	60760	batteries	ipp	False	33.691	-117.833	6059	California	CA	92606	2.0	False	0.0	202108	37359	Western
Chocksett Rd Energy Storage Project	60959	batteries	utility	False	42.451836	-71.737747	25027	Massachusetts	MA	1564	2.0	False	0.0	202108	1892	Eastern
Glendale Battery Energy Storage System	60974	batteries	utility	False	34.162327	-118.283684	6037	California	CA	91201	2.0	False	0.0	202108	36959	Western
Iron Horse Battery Storage Hybrid	60996	batteries	ipp	False	32.098492	-110.819119	4019	Arizona	AZ	85747	10.0	True	2.0	202108	38364	Western
Vanadium Redox Flow Battery Plant	61107	batteries	utility	False	32.682506	-116.988781	6073	California	CA	91902	2.0	False	0.0	202108	37613	Western
Pima Energy Storage System	61197	batteries	ipp	False	32.251647	-110.991333	4019	Arizona	AZ	85705	10.0	False	0.0	202108	38337	Western
AES ES ALAMITOS, LLC	61204	batteries	ipp	False	33.770202	-118.099665	6037	California	CA	90803	100.0	False	0.0	202108	37303	Western
NRG Elbow Creek Energy Storage Project	61362	batteries	ipp	False	32.167575	-101.479217	48227	Texas	TX	79720	2.0	False	0.0	202108	39804	Texas
Top Gun Energy Storage	61366	batteries	utility	False	32.876198	-117.167791	6073	California	CA	92121	30.0	False	0.0	202108	37572	Western
Beacon BESS 1	61431	batteries	utility	False	35.256526	-118.027519	6029	California	CA	95319	20.0	False	0.0	202108	37200	Western
Hopewell Valley High School Hybrid	61473	batteries	utility	False	40.328005	-74.804896	34021	New Jersey	NJ	8534	1.0	True	0.9	202108	5529	Eastern
"Vista Energy Storage System	"	61661	batteries	ipp	False	33.203977	-117.253852	6073	California	CA	90283	40.0	False	0.0	202108	37567	Western
Cox Battery Energy Storage	61679	batteries	utility	False	37.135022	-93.324363	29077	Missouri	MO	65810	1.2	False	0.0	202108	29318	Eastern
HEBT WLA 1	61721	batteries	commercial	False	33.669266	-117.646846	6059	California	CA	92610	1.0	False	0.0	202108	37389	Western
HEBT Irvine 1	61722	batteries	ipp	False	33.713489	-117.852086	6059	California	CA	92795	5.5	False	0.0	202108	37326	Western
HEBT Irvine 2	61723	batteries	ipp	False	33.665246	-117.768222	6059	California	CA	92618	5.8	False	0.0	202108	37350	Western
Lockheed Martin RMS Syracuse	61739	batteries	industrial	False	43.109574	-76.189224	36067	New York	NY	13088	1.0	False	0.0	202108	4584	Eastern
Kingsberry Energy Storage System	61741	batteries	utility	False	30.266028	-97.686139	48453	Texas	TX	78721	1.5	False	0.0	202108	40565	Texas
Pacific Union College BESS	61795	batteries	commercial	False	38.570028	-122.444028	6055	California	CA	94508	1.0	False	0.0	202108	36153	Western
Campbell Industrial Park BESS	61851	batteries	utility	False	21.3064	-158.105	15003	Hawaii	HI	96707	1.0	False	0.0	202108	35834	Western
AES ES GILBERT	61861	batteries	ipp	False	33.446804	-111.956261	4013	Arizona	AZ	85226	10.0	False	0.0	202108	38207	Western
Stryker 22, L.L.C.	61891	batteries	ipp	False	40.66538	-75.144467	34041	New Jersey	NJ	8865	19.8	False	0.0	202108	5889	Eastern
Plumsted 537 LLC	61892	batteries	ipp	False	40.1094	-74.497779	34029	New Jersey	NJ	8514	19.8	False	0.0	202108	5279	Eastern
Parkview Battery	61909	batteries	utility	False	42.26	-85.649722	26077	Michigan	MI	49009	1.0	False	0.0	202108	21195	Eastern
Punkin Center Battery Storage	61913	batteries	utility	False	33.87581	-111.31356	4007	Arizona	AZ	85553	2.0	False	0.0	202108	38314	Western
ACUA	61923	batteries	ipp	False	39.381969	-74.445146	34001	New Jersey	NJ	8401	1.0	False	0.0	202108	5123	Eastern
Caldwell Wastewater Treatment Plant Hybrid	62027	batteries	ipp	False	40.838568	-74.312476	34013	New Jersey	NJ	7006	0.5	True	0.7	202108	5374	Eastern
KCE NY 1	62147	batteries	ipp	False	42.962412	-73.746506	36091	New York	NY	12866	20.0	False	0.0	202108	4686	Eastern
